snapshot_date,policy_start_year,business_type_category,chengdu_branch,second_level_organization,third_level_organization,customer_category_3,insurance_type,is_new_energy_vehicle,coverage_type,is_transferred_vehicle,renewal_status,vehicle_insurance_grade,highway_risk_grade,large_truck_score,small_truck_score,terminal_source,signed_premium_yuan,matured_premium_yuan,policy_count,claim_case_count,reported_claim_payment_yuan,expense_amount_yuan,commercial_premium_before_discount_yuan,premium_plan_yuan,marginal_contribution_amount_yuan,week_number
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,主全,False,续保,,,B,,0106移动展业(App),6762.26,4432.66725312132,1,0,0.0,67.61999999999998,4432.66725312132,4432.66725312132,4388.342284892346,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,主全,False,转保,,,D,,0106移动展业(App),2958.49,48.599999999999994,0,0,0.0,29.58000000000001,48.599999999999994,48.599999999999994,48.11408049376539,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,A,,0106移动展业(App),5916.98,1637.30131506849,1,1,2330.19,295.83999999999986,1637.30131506849,1637.30131506849,-774.7512602739704,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,C,,0106移动展业(App),2958.49,1406.2958869135,0,0,0.0,147.91999999999993,1406.2958869135,1406.2958869135,1335.983231608853,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,D,,0106移动展业(App),9215.89,2909.84830136986,1,0,0.0,279.8500000000002,2909.84830136986,2909.84830136986,2821.487758097495,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,E,,0106移动展业(App),3381.13,1926.7809315068498,1,0,0.0,0.0,1926.7809315068498,1926.7809315068498,1926.7809315068498,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,转保,,,B,,0106移动展业(App),2958.49,1750.7776438356202,1,0,0.0,887.5400000000008,1750.7776438356202,1750.7776438356202,1225.5484931506871,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,转保,,,C,,0106移动展业(App),3381.13,1889.7274520547899,1,0,0.0,169.05999999999995,1889.7274520547899,1889.7274520547899,1795.2391232876669,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,A,,0106移动展业(App),616.02,616.02,1,0,0.0,0.0,616.02,616.02,616.02,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,B,,0106移动展业(App),745.6999999999999,745.6999999999999,1,0,0.0,37.29000000000001,745.6999999999999,745.6999999999999,708.41,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,E,,0106移动展业(App),4226.42,2651.64432876712,1,0,0.0,211.3200000000001,2651.64432876712,2651.64432876712,2519.062739726024,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,转保,,,A,,0106移动展业(App),10143.4,3472.9871181873,1,0,0.0,887.5400000000005,3472.9871181873,3472.9871181873,3169.1033132623284,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,主全,False,续保,,,B,,0106移动展业(App),20795.76,13629.9666849315,1,0,0.0,4367.109999999997,10096.265481058676,13629.9666849315,10767.673418927701,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,主全,False,转保,,,D,,0106移动展业(App),10269.539999999999,140.678630136986,0,0,0.0,1951.2200000000034,104.20631132559753,140.678630136986,113.94958904109558,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,A,,0106移动展业(App),6001.14,2597.75375342466,0,1,3117.31,2160.4100000000026,1924.262039573822,2597.75375342466,-1454.747424657528,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,B,,0106移动展业(App),8401.58,4465.49731506849,1,0,0.0,3360.6299999999997,3307.775788939622,4465.49731506849,2679.2994520547927,42
2025-10-19,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,C,,0106移动展业(App),6147.0,2913.5095890411,0,0,0.0,1290.87,2158.1559963815002,2913.5095890411,2301.672575342469,42
